Beadpack,,Sandstone,,Limestone,
X,Y,X,Y,X,Y
2.1138669090661253,1.279944706315689,-4.910113417101982,2.2115710481723543,-6.682051377581164,0.5595127625810221
2.1286425151246604,1.2677842859569228,-4.634365146595133,2.2872185911401584,-6.630986883042858,0.034182603082381746
2.1655815302710053,1.243463445239394,-20.168184385147537,8.687000726216413,-5.865019464968281,1.231935366739286
2.1951327423880826,1.1705009230868058,-6.962906097541843,-1.2959533607681788,-6.082043566756077,0.9167372710401018
2.224683954505153,1.1400998721898912,-6.273535421274726,-2.2289397240377653,-6.656519130312013,0.76964482638048
2.224683954505153,1.1218592416517446,-6.181619331105775,-1.081618655692731,-6.656519130312013,0.885217461470182
2.261622969651498,1.0792977703960673,-6.288854769636217,-0.7159888646816768,-6.822478737561504,1.13737593802953
2.2985619847978427,1.042816509319774,-6.794393265565436,-0.8420681029613526,-5.992680701314047,0.6330589849108339
2.3355009999441876,1.0124154584228613,-5.476929306477164,-0.8798918744452546,-5.456503508661843,0.62255238172086
2.3355009999441876,1.0124154584228613,-4.527129708064688,-1.964173323650451,-5.852253341333704,-0.24949568304688263
2.3576644090319903,0.9637737769878019,-4.710961888402586,-2.1406842572419933,-5.69905985771879,0.0026627935124636792
2.3798278181198,0.939452936270273,-5.293097126139269,-1.270737513112243,-6.618220759408281,-0.8378654616853627
2.4019912272076027,0.9090518853733585,-4.971390810547945,-1.1950899701444389,-7.116099581156757,-1.825486161542809
2.4093790302368703,0.8908112548352136,-3.9756331670509972,-1.3968167513919187,-7.243760817502519,-2.277270098711643
2.4389302423539476,0.8664904141176812,-3.9756331670509972,-1.850702009198745,-7.090567333887606,-2.5294285752709893
2.48325706052956,0.8300091530413862,-3.7305235932671295,-2.115468409586059,-6.324599915813028,-2.8551332741601474
2.520196075675905,0.7752872614269464,-4.527129708064688,-2.7710804486403653,-5.3160761486815,-3.5275558783184096
2.5792984999100526,0.7144851596331208,-4.481171662980216,-3.1745340111353215,-4.167125021569635,-2.413855940181289
2.58668630293932,0.6840841087362097,-3.9909525154124843,-2.6828249818445915,-0.24792506575472828,-4.55720299093575
2.623625318085665,0.6354424273011485,-3.5466914129292313,-3.2249657064471897,0.3520827450703621,-4.168458672906752
2.6014619089978552,0.6658434781980631,-3.3934979293143144,-3.6788509642540177,0.5180423523198527,-3.2438775921891434
2.5497472877929823,0.7023247392743581,-2.8420013883006234,-3.8805777455014976,1.3095420176635884,-2.687027623120583
2.5128082726466303,0.7327257901712692,-2.857320736662114,-2.7836883724683315,-5.047987552355398,-1.6573805105032449
2.4906448635588276,0.7448862105300353,-2.811362691577642,-3.0232389251997116,-5.226713283239469,-1.5628210817934889
2.4610936514417574,0.7752872614269464,-3.2862624907838764,-2.7332566771564615,-4.6905360905872655,-1.0795173350547387
2.4389302423539476,0.8056883123238574,-3.194346400614929,-1.951565399822485,-5.341608395950654,-0.44912114365637024
2.3872156211490676,0.9090518853733585,-2.0147565767800835,-3.2375736302751577,-5.328842272316081,1.2949749858791222
2.313337590856378,0.9698539871671841,-2.0147565767800835,-3.641027192770114,-4.856495697836756,1.2949749858791222
2.3059497878271102,0.9698539871671841,-1.754327654634725,-3.628419268942146,-4.550108730606922,1.6627060975281722
2.261622969651498,1.0184956686022417,-1.371343945597438,-3.5779875736302778,-4.754366708760145,1.9043579708975464
2.239459560563695,1.0367362991403901,-1.1262343718135703,-3.4014766400387337,-4.652237719683534,2.1460098442669224
2.1951327423880826,1.067137350037303,-1.4632600357663854,-3.1745340111353215,-2.6990208035933705,-2.361322924231425
2.172969333300273,1.0792977703960673,-0.5134604373539133,-3.3510449447268655,-2.0479484982299745,-2.518921972081017
2.1581937272417377,1.1096988212929801,0.08399414874426014,-3.6914588880819856,-1.371343945597438,-2.119671050862051
2.121254712095393,1.1644207129074218,-0.19175412176259243,-3.6914588880819856,-2.264972600017771,-1.4367418435138166
2.1064791060368577,1.206982184163099,0.7580454766498903,-3.918401516985398,-2.6862546799587896,-1.5628210817934889
2.0769278939197804,1.243463445239394,0.8346422184573399,-4.548797708383766,-3.362859232591333,-1.499781462653651
2.0399888787734355,1.273864496136305,0.9725163537107662,-4.548797708383766,-3.477754345302518,-0.8063456521154446
1.9956620605978301,1.3285863877507467,1.6006096365319138,-4.157952069716778,-3.7075445707248953,-0.7748258425455248
1.9661108484807528,1.346827018288895,1.9989126939306985,-3.7040668119099536,-4.256487887011673,-0.7433060329756085
1.9365596363636755,1.36506764882704,1.401458107832525,-3.6032034212862136,-4.320318505184552,-1.0374909222948467
1.855293803041718,1.407629120082719,0.8652809151803282,-3.628419268942146,-3.6181817052828578,2.3036088921165145
1.7814157727490354,1.4319499608002477,1.0797517922412112,-3.2627894779310935,-0.8096345056760796,-2.350816321041451
2.047376681802703,1.3954686997239527,1.5393322430859513,-3.0106310013717437,-0.32452180756217786,-1.825486161542809
2.0769278939197804,1.340746808109511,1.615928984893408,-3.1493181634793856,-0.26069118938929847,-2.5504417816509353
2.136030318153928,1.3103457572126,1.7844418168698155,-2.7836883724683315,-0.018134840332351132,-2.193217273191859
2.1803571363295475,1.2252228147012456,2.3359383578835136,-2.7836883724683315,0.46697785778155065,-2.151190860431967
2.2099083484466178,1.1644207129074218,2.3512577062450006,-2.7458646009844294,0.40314723960867127,-2.592468194410827
