Beadpack,,Sandstone,,Limestone,
X,Y,X,Y,X,Y
2.443804035,-0.12033195,-0.610951009,1.572614108,-0.599423631,-1.77593361
2.501440922,-0.008298755,-0.956772334,1.784232365,-0.564841499,-1.713692946
2.628242075,0.066390041,-0.922190202,1.622406639,-0.518731988,-1.639004149
2.755043228,0.141078838,-0.795389049,1.385892116,-0.461095101,-1.601659751
2.78962536,0.178423237,-1.141210375,1.634854772,-0.403458213,-1.539419087
2.847262248,0.178423237,-1.383285303,1.834024896,-0.391930836,-1.526970954
2.812680115,0.01659751,-1.510086455,1.796680498,-0.426512968,-1.439834025
2.708933718,-0.045643154,-1.809798271,1.908713693,-0.426512968,-1.390041494
2.55907781,-0.082987552,-1.671469741,2.244813278,-0.357348703,-1.32780083
2.409221902,-0.045643154,-1.659942363,2.34439834,-0.380403458,-1.302904564
2.455331412,0.041493776,-2.178674352,1.796680498,-0.472622478,-1.265560166
2.582132565,0.078838174,-2.132564841,1.497925311,-0.507204611,-1.32780083
2.720461095,0.141078838,-2.42074928,1.149377593,-0.495677233,-1.439834025
2.824207493,0.116182573,-2.328530259,1.298755187,-0.518731988,-1.514522822
2.766570605,-0.033195021,-2.109510086,1.348547718,-0.587896254,-1.589211618
2.685878963,-0.045643154,-2.028818444,1.136929461,-0.634005764,-1.663900415
2.639769452,-0.045643154,-2.224783862,0.925311203,-0.714697406,-1.726141079
2.489913545,-0.070539419,-2.293948127,1.024896266,-0.760806916,-1.751037344
2.46685879,0.01659751,-2.432276657,1.099585062,-0.899135447,-1.77593361
2.5129683,0.116182573,-2.155619597,1.012448133,-0.945244957,-1.77593361
2.582132565,0.141078838,-1.971181556,0.452282158,-0.979827089,-1.77593361
2.685878963,0.178423237,-1.878962536,0.601659751,-1.048991354,-1.788381743
2.812680115,0.215767635,-2.028818444,0.601659751,-1.11815562,-1.788381743
2.870317003,0.215767635,-1.659942363,1.883817427,-1.141210375,-1.788381743
2.904899135,0.190871369,-1.53314121,1.933609959,-1.152737752,-1.788381743
2.916426513,0.153526971,-1.613832853,2.107883817,-1.233429395,-1.788381743
2.951008646,0.066390041,-1.544668588,2.107883817,-1.325648415,-1.738589212
2.893371758,0.004149378,-1.925072046,2.008298755,-1.475504323,-1.738589212
2.78962536,-0.070539419,-1.902017291,1.746887967,-1.4870317,-1.738589212
2.720461095,-0.107883817,-2.051873199,0.439834025,-1.57925072,-1.676348548
2.616714697,-0.157676349,-0.599423631,-0.033195021,-1.613832853,-1.626556017
2.501440922,-0.182572614,-0.541786744,0.078838174,-1.625360231,-1.564315353
2.443804035,-0.145228216,-0.357348703,0.004149378,-1.740634006,-1.452282158
2.386167147,-0.107883817,-0.288184438,0.091286307,-1.775216138,-1.439834025
2.432276657,0.029045643,-0.219020173,0.302904564,-1.867435159,-1.315352697
2.5129683,0.041493776,-0.172910663,0.539419087,-1.890489914,-1.290456432
2.570605187,0.01659751,-1.867435159,1.634854772,-1.902017291,-1.228215768
2.685878963,0.029045643,-1.821325648,1.473029046,-1.971181556,-1.190871369
2.720461095,0.10373444,-1.659942363,1.211618257,-2.086455331,-1.116182573
2.755043228,0.116182573,-1.429394813,0.962655602,-2.109510086,-1.116182573
2.801152738,0.141078838,-1.095100865,0.875518672,-2.167146974,-1.066390041
2.78962536,0.066390041,-0.945244957,0.626556017,-2.213256484,-0.904564315
2.685878963,-0.020746888,-0.806916427,0.439834025,-2.236311239,-0.854771784
2.60518732,-0.095435685,-0.645533141,0.365145228,-2.305475504,-0.767634855
2.593659942,-0.107883817,-0.806916427,0.215767635,-2.340057637,-0.742738589
2.674351585,-0.12033195,-0.841498559,0.029045643,-2.536023055,-0.593360996
2.778097983,-0.082987552,-0.945244957,0.116182573,-2.547550432,-0.319502075
2.893371758,0.053941909,-1.106628242,0.228215768,-2.478386167,-0.605809129
2.916426513,0.116182573,-1.291066282,0.315352697,-2.374639769,-0.605809129
2.893371758,0.203319502,-1.360230548,0.452282158,-2.455331412,-0.493775934
2.74351585,0.203319502,-1.360230548,0.514522822,-2.524495677,-0.356846473
2.616714697,0.203319502,-1.39481268,0.601659751,-2.524495677,-0.219917012
2.547550432,0.141078838,-1.452449568,0.676348548,-2.582132565,-0.045643154
2.489913545,0.091286307,-1.567723343,0.701244813,-2.547550432,-0.020746888
2.432276657,0.01659751,-1.729106628,0.738589212,-2.478386167,-0.033195021
2.42074928,-0.082987552,-1.844380403,0.77593361,-2.397694524,0.004149378
2.478386167,-0.132780083,-1.832853026,0.68879668,-2.328530259,0.029045643
2.524495677,-0.095435685,-1.994236311,0.726141079,-2.259365994,0.029045643
2.60518732,0.041493776,-2.051873199,0.825726141,-2.201729107,0.041493776
2.65129683,0.091286307,-1.936599424,0.825726141,-2.121037464,0.066390041
2.766570605,0.141078838,-1.948126801,0.950207469,-2.017291066,0.10373444
2.812680115,0.141078838,-2.040345821,1,-1.948126801,0.066390041
2.778097983,0.078838174,-2.063400576,1.112033195,-1.948126801,0.066390041
2.69740634,0.004149378,-2.144092219,1.161825726,-1.890489914,0.029045643
2.60518732,-0.033195021,-2.167146974,1.236514523,-1.844380403,0.004149378
2.570605187,-0.058091286,-2.213256484,1.336099585,-1.775216138,-0.033195021
2.55907781,-0.12033195,-2.224783862,1.522821577,-1.740634006,-0.082987552
2.501440922,-0.170124481,-2.224783862,1.585062241,-1.706051873,-0.12033195
2.46685879,-0.170124481,-2.236311239,1.709543568,-1.602305476,-0.195020747
2.42074928,-0.132780083,-2.121037464,1.622406639,-1.567723343,-0.257261411
2.42074928,-0.020746888,-2.086455331,1.684647303,-1.4870317,-0.307053942
2.455331412,0.066390041,-1.994236311,1.734439834,-1.452449568,-0.34439834
2.536023055,0.128630705,-1.971181556,1.821576763,-1.406340058,-0.394190871
