Beadpack,,Sandstone,,Limestone,
X,Y,X,Y,X,Y
2.670084087,-0.988806957,-1.886679898,3.456474749,-2.098127263,-1.762985547
2.754412399,-1.049976406,-1.802745568,3.234117014,-1.793546366,-1.746518368
2.866850148,-0.972849709,-1.498483622,3.194410276,-1.837057923,-1.466576332
2.887932226,-0.967530626,-0.8060254,3.496181488,-1.967592593,-1.285437368
2.891445906,-1.041997782,-0.281435837,3.742363266,-2.032859928,-1.137232761
2.796576555,-0.986147415,0.180202978,3.226175667,-2.032859928,-0.956093797
2.817658633,-0.914339801,0.411022385,3.289706448,-1.945836814,-0.758487654
2.779008156,-0.909020718,0.820202244,2.582926504,-1.488965469,-1.005495333
2.652515689,-0.930297049,1.04052986,2.328803378,-1.140873016,-0.906692261
2.557646338,-0.95423292,0.432005968,2.352627421,-0.771024784,-0.593815869
2.543591619,-0.986147415,0.683808958,2.066738904,-0.422932331,-0.560881512
2.459263307,-1.055295488,0.914628365,1.923794646,0.142717906,-0.379742547
2.371421316,-1.196251176,1.533644049,1.741143649,0.621345029,-0.017464619
2.357366597,-1.236144295,1.12446419,1.447313785,-4.121414648,0.624755345
2.315202441,-1.334547322,0.862169409,1.32819357,-3.621031746,1.13523788
2.290606684,-1.440928973,1.229382103,1.177307964,-3.729810638,2.650218308
2.283579324,-1.573906036,1.37626718,0.954950228,-3.555764411,2.534948058
2.350339238,-1.659011357,1.061513443,0.843771361,-3.599275968,2.172670129
2.522509541,-1.68560677,1.334300015,0.50229341,-3.272939293,2.024465522
2.617378892,-1.651032733,0.841185826,0.311701066,-2.119883041,3.835855164
2.694679845,-1.627096862,-0.564714201,4.504732644,-1.445453913,3.588847486
2.768467118,-1.629756403,-0.680123905,4.957389462,-1.184384573,3.374774164
2.712248243,-1.451567138,-1.414549292,4.600028816,-0.422932331,3.07836495
2.722789282,-1.555289248,-1.173238094,4.34590569,-0.031328321,2.880758808
2.789549195,-1.512736587,-1.005369434,4.703266336,0.186229463,2.633751129
2.880904867,-1.464864844,-2.600121703,-0.601553918,1.012949039,0.493017916
2.880904867,-1.427631266,-3.512907542,0.756416536,0.904170148,0.871763023
2.515482182,-1.401035854,-3.439465003,-1.562456988,0.708368143,1.13523788
2.596296814,-1.406354936,-3.040776936,-1.586281031,0.664856586,1.415179916
2.824685992,-1.353164111,-2.642088868,-1.467160816,0.425543024,1.892728094
2.828199672,-1.305292368,-2.253892592,-1.268627123,0.316764133,2.05739988
2.926582702,-1.382419065,-1.865696316,-1.078034779,0.164473684,2.419677808
2.986315257,-1.355823652,-1.22569705,-0.673026047,-1.053849903,3.061897772
2.937123741,-1.281356497,-0.55422241,-0.307724054,-1.249651908,2.831357272
2.933610062,-1.262739708,0.295612681,0.430821281,-1.641255918,2.699619843
2.937123741,-1.201570258,0.62085821,0.939067533,-1.989348371,2.534948058
2.694679845,-1.201570258,0.400530594,1.693495563,-2.250417711,2.320874737
2.656029368,-1.201570258,-0.05061643,2.265272597,-2.772556391,2.007998344
2.561160018,-1.241463377,-0.281435837,2.765577501,-2.837823726,1.629253237
2.582242095,-1.156358057,-1.047336599,2.463806289,-2.707289056,1.25050813
2.631433611,-1.055295488,-1.634876908,2.241448554,-2.990114174,0.954098916
2.729816641,-1.036678699,-2.285367966,1.899970603,-2.990114174,0.707091238
3.04956149,-1.095188607,-2.778482155,0.91524349,-3.120648844,0.410682023
3.067129889,-1.182953469,-3.250612761,0.526117453,-3.599275968,0.410682023
3.04956149,-1.222846589,-3.65979262,0.192580851,-3.969124199,0.278944595
3.007397334,-1.35050457,-4.320775468,-0.331548097,-5.361494013,-1.318371725
2.687652485,-1.374440441,-4.75093891,-0.831853001,-4.882866889,-1.861788618
2.74738504,-1.291994662,-4.866348613,-1.197154994,-5.035157338,-1.631248118
2.838740711,-1.475503009,-4.771922492,-1.45127812,-12.54090086,-7.740571364
2.828199672,-1.409014478,-4.866348613,-1.919817634,-2.076371484,-0.511479976
2.894959585,-1.355823652,-5.149626977,-2.245412889,-2.707289056,-0.23153794
2.916041663,-1.331887781,-5.516839671,-2.420122538,-3.425229741,-0.132734869
2.715761923,-1.172315304,-6.167330728,-2.372474452,-3.207671958,-0.34680819
2.663056728,-1.129762644,-6.702412082,-2.221588846,-3.098893066,-0.709086119
2.494400104,-1.097848149,-6.566018796,-1.665694508,-3.860345308,-0.593815869
